Datum;Šarža;Koda;Stružnica;0010/1;0030/1;0032/1;0050/1;0050/2;0060/1;0060/2;0062/1
26.8.2020 9:28:50;790000056350;18.180.19         ;1;;;;-0,10;;-0,20;;
26.8.2020 9:30:20;790000056350;18.180.19         ;1;187,00;180,00;3,50;-0,20;;-0,12;;3,00
27.8.2020 11:01:11;790000056350;18.180.19         ;1;187,10;180,10;3,60;-0,10;-0,10;-0,11;-0,10;3,10
31.8.2020 8:24:28;790000056350;18.180.19         ;1;186,90;179,89;3,61;-0,20;-0,12;-0,21;-0,15;3,11
14.9.2020 9:05:20;790000056350;18.180.19         ;1;186,77;180,10;3,60;-0,29;-0,11;-0,12;-0,12;2,88
14.9.2020 9:08:08;790000056350;18.180.19         ;1;;;;;;;;
14.9.2020 9:22:24;790000056350;18.180.19         ;1;186,77;179,77;3,60;-0,12;-0,13;-0,15;-0,23;3,11
29.9.2020 12:17:06;790000056350;18.180.19         ;1;186,87;179,87;3,37;-0,04;-0,04;-0,04;-0,04;2,87
29.9.2020 12:18:14;790000056350;18.180.19         ;2;;;;-0,04;;-0,04;;
30.9.2020 7:18:04;790000056350;18.180.19         ;1;189,04;179,92;3,40;1,30;-0,02;4,98;-0,02;2,88
16.10.2020 11:18:23;790000056350;18.180.19         ;1;187,10;180,20;3,61;-0,15;-0,15;-0,17;-0,18;3,04
16.10.2020 11:41:50;790000056350;18.180.19         ;2;187,11;180,14;3,51;-0,10;-0,05;-0,21;-0,13;3,11
27.10.2020 15:07:46;790000056350;18.180.19         ;1;;;;-0,12;;-0,13;;
26.8.2020 11:22:17;790000056350;18.180.19         ;1;187,00;180,00;3,40;-0,10;-0,11;-0,14;-0,17;3,00
15.9.2020 8:06:39;790000056350;18.180.19         ;1;;;;-0,04;;-0,04;;
15.9.2020 8:03:09;790000056350;18.180.19         ;1;;;;-0,04;;-0,04;;
29.9.2020 12:12:13;790000056350;18.180.19         ;1;;;;-0,13;;-0,13;;
29.9.2020 12:13:29;790000056350;18.180.19         ;1;;;;-0,13;;-0,13;;
29.10.2020 9:01:51;790000056350;18.180.19         ;2;;;;-0,23;;-0,34;;
29.10.2020 8:39:13;790000056350;18.180.19         ;1;187,00;180,00;3,50;-0,25;-0,13;-0,22;-0,12;3,10
